adj.P.Val,logFC,Gene.symbol,Gene.title
0.000000105,1.87378712,RFC5,replication factor C subunit 5
0.000000105,1.08157433,LOC101929368///FKBP1A,uncharacterized LOC101929368///FK506 binding protein 1A
0.000000105,-1.43311506,SRPK3,SRSF protein kinase 3
0.000000107,1.54730794,PLS3,plastin 3
0.000000107,-2.96494743,MEOX2,mesenchyme homeobox 2
0.00000011,2.12465524,RUNX3,runt related transcription factor 3
0.00000011,-1.56641555,SLC25A20,solute carrier family 25 member 20
0.00000011,-2.21687078,METTL7A,methyltransferase like 7A
0.000000111,0.99491488,ADAR,"adenosine deaminase, RNA specific"
0.000000111,-1.73303877,ZBTB20,zinc finger and BTB domain containing 20
0.000000112,-1.41367192,MTUS1,microtubule associated tumor suppressor 1
0.000000113,1.43544005,JAG1,jagged 1
0.000000113,0.71316262,AATF,apoptosis antagonizing transcription factor
0.000000114,0.90035755,HNRNPCL4///HNRNPCL3///HNRNPCL2///HNRNPCL1///HNRNPC,heterogeneous nuclear ribonucleoprotein C-like 4///heterogeneous nuclear ribonucleoprotein C-like 3///heterogeneous nuclear ribonucleoprotein C-like 2///heterogeneous nuclear ribonucleoprotein C-like 1///heterogeneous nuclear ribonucleoprotein C (C1/C2)
0.000000115,1.17364609,LMNB2,lamin B2
0.000000117,3.75570496,SPP1,secreted phosphoprotein 1
0.000000117,1.17889946,ARPC5,actin related protein 2/3 complex subunit 5
0.000000119,2.38050113,EFNA1,ephrin A1
0.00000012,-1.00563913,KANK3,KN motif and ankyrin repeat domains 3
0.000000122,-3.96729867,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
0.000000125,3.27853745,KRT14,keratin 14
0.000000134,1.02140258,LOC101060363///PPIA,peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A
0.000000137,4.13878007,MMP13,matrix metallopeptidase 13
0.000000137,2.13645922,F2RL1,F2R like trypsin receptor 1
0.000000137,1.94287301,ELF4,E74 like ETS transcription factor 4
0.000000137,1.89829669,GGH,gamma-glutamyl hydrolase
0.000000137,1.49785038,HOMER3,homer scaffolding protein 3
0.000000137,-1.48159255,ACACB,acetyl-CoA carboxylase beta
0.000000139,1.45334115,SERPINH1,serpin family H member 1
0.000000139,0.77603494,PSMB3,proteasome subunit beta 3
0.000000141,0.87413928,PSMA4,proteasome subunit alpha 4
0.000000141,-0.82943457,SOX13,SRY-box 13
0.000000141,-2.92887122,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide"
0.000000147,-2.5461432,CILP,cartilage intermediate layer protein
0.000000151,1.753609,ID1,"inhibitor of DNA binding 1, HLH protein"
0.000000151,-2.49627291,USP13,ubiquitin specific peptidase 13 (isopeptidase T-3)
0.000000153,1.41548268,CDK5,cyclin dependent kinase 5
0.000000153,1.04585608,SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein
0.000000154,-2.01282323,CAV3,caveolin 3
0.000000155,0.82642402,POLR2H,RNA polymerase II subunit H
0.000000157,1.4211121,PLP2,proteolipid protein 2
0.000000159,1.51403601,IL1RAP,interleukin 1 receptor accessory protein
0.000000161,-1.19995918,DMPK,dystrophia myotonica protein kinase
0.000000161,-2.02665952,LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW,"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)"
0.000000164,1.82910387,CDC25B,cell division cycle 25B
0.000000166,-1.39699043,C16orf45,chromosome 16 open reading frame 45
0.000000167,-2.52063649,KIAA1024,KIAA1024
0.000000169,1.16758299,PWP1,"PWP1 homolog, endonuclein"
0.000000172,2.24977948,STK17A,serine/threonine kinase 17a
0.000000178,1.59439072,COL4A1,collagen type IV alpha 1 chain
0.000000179,1.24869681,FOXM1,forkhead box M1
0.000000179,-1.21923626,COLGALT2,collagen beta(1-O)galactosyltransferase 2
0.000000187,1.4459448,CASK,calcium/calmodulin dependent serine protein kinase
0.000000187,0.91656527,PSMD10,"proteasome 26S subunit, non-ATPase 10"
0.000000189,1.97284057,PSMB8,proteasome subunit beta 8
0.000000189,1.77552775,ATP1B3,ATPase Na+/K+ transporting subunit beta 3
0.000000189,-2.1362735,MBP,myelin basic protein
0.000000189,-2.55268105,CAP2,"CAP, adenylate cyclase-associated protein, 2 (yeast)"
0.000000191,-1.59966106,BCL2,"BCL2, apoptosis regulator"
0.000000193,1.42474297,TUBB4B,tubulin beta 4B class IVb
0.000000194,-1.58405069,HBD,hemoglobin subunit delta
0.000000201,0.72575254,EIF4E2,eukaryotic translation initiation factor 4E family member 2
0.000000203,2.18521442,CTSV,cathepsin V
0.000000204,1.92323487,STAT1,signal transducer and activator of transcription 1
0.000000204,1.76054567,TES,testin LIM domain protein
0.000000204,1.02895297,TUBB4A,tubulin beta 4A class IVa
0.000000204,-4.0418746,CAND2,cullin associated and neddylation dissociated 2 (putative)
0.000000207,-1.56853817,FBLN5,fibulin 5
0.000000208,-0.89653089,TSSK2,testis specific serine kinase 2
0.000000209,-1.5140439,KLF9,Kruppel like factor 9
0.00000021,-3.26612216,SYNM,synemin
0.000000214,-0.92013345,KAT8,lysine acetyltransferase 8
0.000000215,-1.29218464,SLIT2,slit guidance ligand 2
0.00000022,-2.13587283,SCN1B,sodium voltage-gated channel beta subunit 1
0.000000226,1.45043169,LOC101930571///TUBA3D///TUBA3E///TUBA3C,tubulin alpha-3E chain-like///tubulin alpha 3d///tubulin alpha 3e///tubulin alpha 3c
0.000000226,-1.18629665,HADHB,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit"
0.000000227,0.91530554,MIR664B///SNORA56///DKC1,"microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1"
0.000000229,2.38110064,CCNB1,cyclin B1
0.00000023,2.45008735,CLCA2,chloride channel accessory 2
0.00000023,2.24743846,COL1A2,collagen type I alpha 2 chain
0.00000023,2.1048944,LRP8,LDL receptor related protein 8
0.00000023,0.87232561,CCT2,chaperonin containing TCP1 subunit 2
0.000000231,1.8817596,CD44,CD44 molecule (Indian blood group)
0.000000231,-1.58856079,MEOX2,mesenchyme homeobox 2
0.000000232,-2.27757842,AOC3,"amine oxidase, copper containing 3"
0.000000234,-2.67942006,FABP3,fatty acid binding protein 3
0.000000245,1.01012543,KLF7,Kruppel like factor 7
0.000000251,2.98860305,COL17A1,collagen type XVII alpha 1 chain
0.000000253,1.10786161,MIR7112///BOP1,microRNA 7112///block of proliferation 1
0.000000255,1.06428502,BICD2,BICD cargo adaptor 2
0.000000255,-0.88834222,GOLGA4,golgin A4
0.000000264,1.44646324,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3"
0.000000267,2.40506178,POSTN,periostin
0.000000267,-0.90797721,SLC25A11,solute carrier family 25 member 11
0.000000268,-1.93871964,NTRK3,neurotrophic receptor tyrosine kinase 3
0.000000272,1.06696022,LASP1,LIM and SH3 protein 1
0.000000272,-1.85545527,GPRASP1,G protein-coupled receptor associated sorting protein 1
0.000000279,1.45696005,FZD6,frizzled class receptor 6
0.000000279,-3.33318459,MYOM1,myomesin 1
0.00000028,2.04368422,TRIM14,tripartite motif containing 14
0.000000281,1.83537449,IFI35,interferon induced protein 35
0.000000294,-1.31919673,RHOBTB3,Rho related BTB domain containing 3
0.000000295,1.30159375,PPIB,peptidylprolyl isomerase B
0.000000296,1.74405568,MYOF,myoferlin
0.000000301,-1.43514746,SPRY2,sprouty RTK signaling antagonist 2
0.000000303,1.64907578,DFNA5,"DFNA5, deafness associated tumor suppressor"
0.000000313,-0.75147742,,
0.000000313,-1.37886415,PLEKHA6,pleckstrin homology domain containing A6
0.000000314,-1.46911421,HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2
0.000000314,-2.20830856,PFKM,"phosphofructokinase, muscle"
0.000000317,-3.51730109,MYBPC1,"myosin binding protein C, slow type"
0.000000323,1.39630664,PDPN,podoplanin
0.000000323,0.99360791,IRAK1,interleukin 1 receptor associated kinase 1
0.000000323,-0.89451669,CALCOCO1,calcium binding and coiled-coil domain 1
0.000000341,1.9016018,PAK2,p21 (RAC1) activated kinase 2
0.000000342,-2.09517237,NTRK3,neurotrophic receptor tyrosine kinase 3
0.000000346,1.30042192,DDX21,DEAD-box helicase 21
0.000000371,-0.93626641,TSPAN3,tetraspanin 3
0.000000372,-1.4524322,NRG2,neuregulin 2
0.000000379,1.37046937,FEN1,flap structure-specific endonuclease 1
0.000000379,-2.5381031,PKIA,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"
0.000000381,1.1548489,TSTA3,tissue specific transplantation antigen P35B
0.000000387,1.39418931,LAS1L,"LAS1 like, ribosome biogenesis factor"
0.000000388,-1.24318204,AES,amino-terminal enhancer of split
0.000000388,-1.92580778,SEC14L5,SEC14 like lipid binding 5
0.000000391,-1.17547692,SPRY1,sprouty RTK signaling antagonist 1
0.0000004,1.20360744,SAT1,spermidine/spermine N1-acetyltransferase 1
0.000000406,1.88128342,CASP1,caspase 1
0.000000418,0.95775614,RAP1B,"RAP1B, member of RAS oncogene family"
0.000000419,1.89236187,GBP1,guanylate binding protein 1
0.000000421,1.004856,EXT1,exostosin glycosyltransferase 1
0.000000421,0.98902757,ACOT7,acyl-CoA thioesterase 7
0.000000421,-1.43974263,PLA2G4C,phospholipase A2 group IVC
0.000000423,2.07349687,KYNU,kynureninase
0.000000429,1.68415874,F2RL1,F2R like trypsin receptor 1
0.000000432,-0.70281104,ARAF,"A-Raf proto-oncogene, serine/threonine kinase"
0.000000436,2.20000165,APOL1,apolipoprotein L1
0.000000437,1.54302387,HLA-F,"major histocompatibility complex, class I, F"
0.000000437,1.22075812,CAPZA1,capping actin protein of muscle Z-line alpha subunit 1
0.000000438,1.06702572,RAC1,"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"
0.000000438,1.00378778,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1
0.000000441,-1.44467892,DYX1C1-CCPG1///CCPG1,DYX1C1-CCPG1 readthrough (NMD candidate)///cell cycle progression 1
0.000000447,1.51646385,ATP10D,ATPase phospholipid transporting 10D (putative)
0.000000447,1.11235881,RSU1,Ras suppressor protein 1
0.000000449,2.63364963,IGSF3,immunoglobulin superfamily member 3
0.000000449,-3.82779403,LDB3,LIM domain binding 3
0.000000451,-1.1142938,EPM2AIP1,EPM2A interacting protein 1
0.000000454,-0.79269081,CS,citrate synthase
0.000000461,1.08598755,MYH9,"myosin, heavy chain 9, non-muscle"
0.000000463,-1.79100361,AURKC,aurora kinase C
0.000000469,-1.07111586,SF3A2,splicing factor 3a subunit 2
0.00000047,-1.28913719,GPT,glutamic--pyruvic transaminase
0.000000484,1.48997503,TWF1,twinfilin actin binding protein 1
0.000000484,0.75651107,PICALM,phosphatidylinositol binding clathrin assembly protein
0.000000484,0.65171236,PRPF4,pre-mRNA processing factor 4
0.000000489,2.71589323,S100A2,S100 calcium binding protein A2
0.000000514,-2.7679928,ERBB4,erb-b2 receptor tyrosine kinase 4
0.000000515,1.5913935,PPP4R1,protein phosphatase 4 regulatory subunit 1
0.000000515,-0.96255392,TDRD3,tudor domain containing 3
0.000000516,-2.07960657,CNN1,calponin 1
0.000000527,-2.02307276,ME3,malic enzyme 3
0.000000534,-2.28206584,LOC101927144///ACYP2,uncharacterized LOC101927144///acylphosphatase 2
0.000000537,1.12869775,KLF7,Kruppel like factor 7
0.000000543,-1.15327623,PNISR,PNN interacting serine and arginine rich protein
0.000000545,-0.74234586,COQ9,coenzyme Q9
0.000000557,0.77735914,PPP1CA,protein phosphatase 1 catalytic subunit alpha
0.000000567,-1.99426914,AR,androgen receptor
0.000000576,2.12330299,PHLDA2,pleckstrin homology like domain family A member 2
0.000000576,-0.84526136,ANKHD1-EIF4EBP3///ANKHD1///EIF4EBP3,ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1///eukaryotic translation initiation factor 4E binding protein 3
0.000000578,0.86687973,CALR,calreticulin
0.000000579,-2.37825989,PDGFRL,platelet derived growth factor receptor like
0.00000058,-1.22510768,LMO2,LIM domain only 2
0.000000589,-2.93188327,CACNA1S,calcium voltage-gated channel subunit alpha1 S
0.000000602,2.01184391,TPX2,"TPX2, microtubule nucleation factor"
0.000000631,-0.78808696,EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit
0.000000636,-3.11242123,PDLIM5,PDZ and LIM domain 5
0.000000642,1.51657758,VASP,vasodilator-stimulated phosphoprotein
0.000000652,0.92401709,DEGS1,"delta 4-desaturase, sphingolipid 1"
0.000000657,1.85805934,BMP2,bone morphogenetic protein 2
0.000000658,-1.82988618,SERPINI1,serpin family I member 1
0.00000066,2.22987458,SERPINB8,serpin family B member 8
0.00000066,-1.1794378,PDK2,pyruvate dehydrogenase kinase 2
0.000000661,0.76503663,DESI1,desumoylating isopeptidase 1
0.000000665,-1.25154036,BCL2,"BCL2, apoptosis regulator"
0.000000675,-3.32519075,LDB3,LIM domain binding 3
0.000000681,0.90913605,MTDH,metadherin
0.000000682,-1.89817076,SNTA1,syntrophin alpha 1
0.000000684,0.78183613,RUVBL1,RuvB like AAA ATPase 1
0.000000692,2.32394715,LAMP3,lysosomal associated membrane protein 3
0.000000692,-0.81827119,KIAA1109,KIAA1109
0.000000698,1.28828846,NCLN,nicalin
0.000000708,1.72295509,IGFBP3,insulin like growth factor binding protein 3
0.000000713,-1.30510765,ANGPT1,angiopoietin 1
0.000000713,-2.2418166,PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"
0.000000721,-3.80721739,CA3,carbonic anhydrase 3
0.000000731,-1.34613067,SYNE1,spectrin repeat containing nuclear envelope protein 1
0.000000742,2.80367784,DST,dystonin
0.000000742,0.76068216,DRAP1,DR1 associated protein 1
0.000000742,-1.62784463,LOC729966///PDE4C,uncharacterized LOC729966///phosphodiesterase 4C
0.000000746,-1.88367271,SMIM8,small integral membrane protein 8
0.000000752,-3.19701816,FHL1,four and a half LIM domains 1
0.000000787,-3.57626499,PPP1R3A,protein phosphatase 1 regulatory subunit 3A
0.000000795,1.27239451,TFRC,transferrin receptor
0.000000811,-0.94031837,PDHB,pyruvate dehydrogenase (lipoamide) beta
0.000000823,1.10058346,PAICS,phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
0.000000828,1.12672755,SAT1,spermidine/spermine N1-acetyltransferase 1
0.000000828,-1.44494492,ACADSB,"acyl-CoA dehydrogenase, short/branched chain"
0.000000837,0.88459565,GARS,glycyl-tRNA synthetase
0.000000841,-0.75131602,PEX1,peroxisomal biogenesis factor 1
0.000000843,-2.17376662,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1
0.000000846,-1.51127187,ZNF132,zinc finger protein 132
0.000000875,1.07244012,HSPB11,heat shock protein family B (small) member 11
0.000000882,1.63971112,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
0.000000887,1.33855814,UMPS,uridine monophosphate synthetase
0.000000887,0.86024092,HPRT1,hypoxanthine phosphoribosyltransferase 1
0.000000887,-1.30227664,ACOT1///ACOT2,acyl-CoA thioesterase 1///acyl-CoA thioesterase 2
0.00000089,1.54050616,CAV2,caveolin 2
0.00000089,0.93821806,ADAM10,ADAM metallopeptidase domain 10
0.00000089,0.62828884,PPP1CA,protein phosphatase 1 catalytic subunit alpha
0.00000089,-1.25975787,MAPT,microtubule associated protein tau
0.000000899,-0.94099252,CD34,CD34 molecule
0.000000902,1.16398091,KIF2A,kinesin family member 2A
0.000000904,-2.16830206,EPHX2,epoxide hydrolase 2
0.000000918,0.84394673,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3
0.000000922,2.2564934,XAF1,XIAP associated factor 1
0.000000923,-2.2820986,UCP3,uncoupling protein 3
0.000000933,0.8498533,GNB2,G protein subunit beta 2
0.000000934,-3.46427713,RPL3L,ribosomal protein L3 like
0.000000942,-0.97461635,WDR62,WD repeat domain 62
0.000000942,-1.09125323,MGLL,monoglyceride lipase
0.000000949,-0.91653019,CIRBP,cold inducible RNA binding protein
0.000000949,-0.9790204,FAM107A,family with sequence similarity 107 member A
0.000000951,1.06597641,AK2,adenylate kinase 2
0.000000966,1.96766345,GRN,granulin
0.000000966,0.9351163,BUB3,"BUB3, mitotic checkpoint protein"
0.000000978,-1.10100532,COL21A1,collagen type XXI alpha 1 chain
0.00000099,3.51248782,LGALS7B///LGALS7,galectin 7B///galectin 7
0.000001,1.82437119,ASCC3,activating signal cointegrator 1 complex subunit 3
0.00000101,0.69730974,UBE2I,ubiquitin conjugating enzyme E2 I
0.00000101,-1.19375596,SOD3,"superoxide dismutase 3, extracellular"
0.00000102,1.23799269,PDCD6,programmed cell death 6
0.00000103,-1.99286126,FRY,FRY microtubule binding protein
0.00000104,-0.7396498,ELF2,E74 like ETS transcription factor 2
0.00000104,-0.99242102,RBM25,RNA binding motif protein 25
0.00000105,2.71514383,KRT6A,keratin 6A
0.00000105,0.91378639,TMED9,transmembrane p24 trafficking protein 9
0.00000107,0.76287546,FUBP1,far upstream element binding protein 1
0.00000108,-0.98815635,SPHAR///RAB4A,"S-phase response (cyclin related)///RAB4A, member RAS oncogene family"
0.00000109,1.67427622,LY6E,"lymphocyte antigen 6 complex, locus E"
0.00000109,-1.83573209,,
0.0000011,1.62015048,JUP,junction plakoglobin
0.00000111,-0.86202073,RNF10,ring finger protein 10
0.00000111,-1.87422148,PLCB4,phospholipase C beta 4
0.00000113,1.73042015,PLAUR,"plasminogen activator, urokinase receptor"
0.00000116,1.59347446,SLC36A1,solute carrier family 36 member 1
0.00000116,1.49669638,BPGM,bisphosphoglycerate mutase
0.00000116,-1.5424608,PHYHIP,phytanoyl-CoA 2-hydroxylase interacting protein
0.00000116,-2.82975544,TMOD1,tropomodulin 1
0.00000118,1.9437633,GJB3,gap junction protein beta 3
0.00000119,-0.8693331,EGF,epidermal growth factor
0.00000121,1.64469262,ACP5,"acid phosphatase 5, tartrate resistant"
0.00000122,-1.02806468,ANKMY2,ankyrin repeat and MYND domain containing 2
0.00000122,-1.82048737,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
0.00000125,1.15438858,NUTF2P4///NUTF2,nuclear transport factor 2 pseudogene 4///nuclear transport factor 2
0.00000126,1.06291037,CBLB,Cbl proto-oncogene B
0.00000126,-1.34370144,MDH2,malate dehydrogenase 2
0.00000128,-2.13328212,PDZRN3,PDZ domain containing ring finger 3
0.00000129,1.96253028,MICB,MHC class I polypeptide-related sequence B
0.00000129,1.10195658,NPM3,nucleophosmin/nucleoplasmin 3
0.00000129,-1.08078346,LMO1,LIM domain only 1
0.0000013,-1.53855018,SATB1,SATB homeobox 1
0.00000132,2.14763616,ITGA2,integrin subunit alpha 2
0.00000132,1.15549188,SLC39A6,solute carrier family 39 member 6
0.00000132,1.12037571,CKS1B,CDC28 protein kinase regulatory subunit 1B
0.00000132,0.9704824,ENSA,endosulfine alpha
0.00000132,-0.73689227,EIF4B,eukaryotic translation initiation factor 4B
0.00000132,-1.25360751,ARHGEF6,Rac/Cdc42 guanine nucleotide exchange factor 6
0.00000133,0.87695545,ARPC3,actin related protein 2/3 complex subunit 3
0.00000135,2.24137182,OASL,2'-5'-oligoadenylate synthetase like
0.00000135,1.60630618,HIST1H2BK,"histone cluster 1, H2bk"
0.00000135,1.49356543,ID1,"inhibitor of DNA binding 1, HLH protein"
0.00000138,0.91000751,EIF2S1,eukaryotic translation initiation factor 2 subunit alpha
0.00000139,0.97151532,TMX1,thioredoxin related transmembrane protein 1
0.00000139,-2.83661396,TCAP,titin-cap
0.00000139,-3.14219024,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
0.0000014,1.66465089,STAT1,signal transducer and activator of transcription 1
0.0000014,1.48757504,PSMB9,proteasome subunit beta 9
0.0000014,1.42789847,HIST1H2BL,"histone cluster 1, H2bl"
0.0000014,-1.48802884,CHAD,chondroadherin
0.00000141,1.3759919,AP1S1,adaptor related protein complex 1 sigma 1 subunit
0.00000141,-1.13134006,HPN,hepsin
0.00000144,-1.34580015,NOVA1,NOVA alternative splicing regulator 1
0.00000145,1.08871207,RPN2,ribophorin II
0.00000145,0.7543891,TARDBP,TAR DNA binding protein
0.00000145,-1.08497045,DAPK2,death associated protein kinase 2
0.00000145,-4.04815129,STATH,statherin
